ID,date_time,lat,lon,depth(km),magnitude,origin
18095351,2018-01-22T191421.96,42.5523,13.3643,11.1,ML0.9,1 km SW Campotosto (AQ)
18095471,2018-01-22T194806.5,42.7633,13.2257,9.1,ML1.4,6 km W Arquata del Tronto (AP)
18095551,2018-01-22T204009.33,42.7027,13.1458,14.1,ML1.4,8 km W Accumoli (RI)
18095671,2018-01-22T205327.2,42.6988,13.141,13.5,ML1.4,9 km W Accumoli (RI)
18095771,2018-01-22T210122.85,43.0363,12.777,10.9,ML1.2,3 km SE Valtopina (PG)
18095811,2018-01-22T210238.07,42.8997,13.1497,14.4,ML1.3,1 km NW Castelsantangelo sul Nera (MC)
18095891,2018-01-22T211521.96,42.9048,13.1528,12.2,ML1.2,1 km N Castelsantangelo sul Nera (MC)
18095931,2018-01-22T212109.48,42.6878,13.3657,11.1,ML1.0,9 km NE Amatrice (RI)
18095971,2018-01-22T212751.08,44.304,11.6492,28.4,ML1.5,3 km E Casalfiumanese (BO)
18095991,2018-01-22T214909.94,42.9492,13.0942,9.4,ML2.4,2 km N Visso (MC)
18096041,2018-01-22T215426.18,42.7472,13.1942,10.4,ML1.0,7 km NW Accumoli (RI)
18096091,2018-01-22T223125.,41.4545,13.9822,22.8,ML1.4,2 km E San Pietro Infine (CE)
18096141,2018-01-22T223329.26,42.6862,13.2562,11.5,ML0.9,1 km SE Accumoli (RI)
18096191,2018-01-22T230253.77,40.1233,15.8238,11.8,ML1.5,5 km E Lagonegro (PZ)
18096221,2018-01-22T230648.27,42.7748,13.1998,12,ML1.3,8 km W Arquata del Tronto (AP)
18096291,2018-01-22T230758.39,42.2628,13.5783,9,ML2.5,1 km N Fagnano Alto (AQ)
18096391,2018-01-22T232231.66,42.8238,12.9557,10.4,ML0.9,3 km E Cerreto di Spoleto (PG)
18096431,2018-01-22T232808.33,44.1912,10.2115,9.1,ML1.0,2 km N Minucciano (LU)
18096531,2018-01-23T005429.52,38.1807,15.1738,10.4,ML1.4,Costa Siciliana nord-orientale (Messina)
18096561,2018-01-23T010326.05,42.8153,13.1653,11.9,ML0.6,6 km E Norcia (PG)
18096671,2018-01-23T013659.27,42.95,13.0937,9.7,ML1.2,2 km N Visso (MC)
18096741,2018-01-23T014951.,37.811,15.117,1.3,ML2.5,4 km SW Linguaglossa (CT)
18096721,2018-01-23T020207.38,42.7568,13.2398,14.7,ML0.7,5 km W Arquata del Tronto (AP)
18096771,2018-01-23T022703.17,42.813,13.0552,9.8,ML1.7,4 km NW Norcia (PG)
18096821,2018-01-23T023630.71,38.8735,15.9477,42.5,Md1.7,"Costa Calabra sud-occidentale (Catanzaro, Vibo Valentia, Reggio di Calabria)"
18096851,2018-01-23T030021.91,42.772,13.276,10.5,ML1.2,2 km W Arquata del Tronto (AP)
18096971,2018-01-23T031346.94,38.072,14.9827,9.8,ML1.5,3 km NE San Piero Patti (ME)
18097051,2018-01-23T033717.27,39.4082,16.4178,15.4,ML1.7,10 km SE Acri (CS)
18097101,2018-01-23T033734.98,39.3892,16.4247,15.3,Md1.3,11 km E San Pietro in Guarano (CS)
18097261,2018-01-23T043031.28,42.4407,13.2972,11,ML1.8,Pizzoli (AQ)
18097341,2018-01-23T043249.44,42.439,13.29971,11,ML1.4,Pizzoli (AQ)
18097411,2018-01-23T043455.41,42.4533,13.289,10.5,ML1.4,1 km E Barete (AQ)
18097521,2018-01-23T050443.62,42.6008,13.2777,9.8,ML1.6,3 km S Amatrice (RI)
18097581,2018-01-23T050955.87,42.4422,13.3032,13.3,ML1.9,1 km NE Pizzoli (AQ)
18097631,2018-01-23T051004.32,42.433,13.2868,9.6,ML2.0,1 km SW Pizzoli (AQ)
18097691,2018-01-23T052322.7,42.457,13.2873,12.4,ML1.3,1 km NE Barete (AQ)
18097991,2018-01-23T060930.15,42.4578,13.2893,13.2,ML1.4,1 km NE Barete (AQ)
18098051,2018-01-23T061326.77,42.7362,13.2182,12,ML0.8,5 km NW Accumoli (RI)
18098101,2018-01-23T061752.31,42.4432,13.3058,13.8,ML0.9,1 km NE Pizzoli (AQ)
18098181,2018-01-23T062009.04,42.7998,12.7183,9.6,ML1.6,5 km SE Castel Ritaldi (PG)
18098271,2018-01-23T062625.16,43.0648,13.0298,9.5,ML1.7,2 km SW Muccia (MC)
18098301,2018-01-23T062718.29,42.4317,13.2942,9.3,ML2.3,1 km S Pizzoli (AQ)
18098381,2018-01-23T063433.25,42.7428,13.3922,15.4,ML1.0,3 km SW Acquasanta Terme (AP)
18098461,2018-01-23T063459.43,-6.7816,106.19,51,Mw6.1,"Jawa, Indonesia [Land Indonesia]"
18098441,2018-01-23T063649.84,42.7187,13.2332,12.8,ML0.9,3 km NW Accumoli (RI)
18098591,2018-01-23T065536.83,42.8217,13.0873,10.4,ML1.0,3 km N Norcia (PG)
18098651,2018-01-23T070840.41,43.0742,12.8503,9.7,ML0.8,6 km SE Nocera Umbra (PG)
18098701,2018-01-23T071938.87,42.7278,13.1863,9.9,ML1.0,6 km NW Accumoli (RI)
18098741,2018-01-23T072104.43,42.4417,13.2843,10.1,ML1.2,1 km W Pizzoli (AQ)
18098771,2018-01-23T072858.34,41.5663,13.7857,9,ML1.6,1 km NE Terelle (FR)
18098821,2018-01-23T073431.65,43.0027,13.0373,6.7,ML1.1,3 km E Monte Cavallo (MC)
18098861,2018-01-23T073836.57,42.448,13.3172,11,ML1.1,2 km NE Pizzoli (AQ)
18098901,2018-01-23T074002.27,42.4478,13.3092,12.9,ML1.1,2 km NE Pizzoli (AQ)
18099171,2018-01-23T084914.07,41.6127,14.1653,9,ML1.0,2 km E Fornelli (IS)
18099221,2018-01-23T085417.38,41.7392,14.2695,16.9,ML1.7,4 km NW Carovilli (IS)
18099261,2018-01-23T085832.58,41.7422,14.2623,17.4,ML2.1,4 km S Vastogirardi (IS)
18099341,2018-01-23T091106.57,42.8128,13.0837,11.1,ML1.4,2 km NW Norcia (PG)
